DATE,RATE
2016-05-13,0.975197
2016-05-12,0.970322
2016-05-11,0.971505
2016-05-10,0.974062
2016-05-09,0.970517
2016-05-08,0.972578
2016-05-07,0.971843
2016-05-06,0.967736
2016-05-05,0.966076
2016-05-04,0.955722
2016-05-03,0.953986
2016-05-02,0.955835
2016-05-01,0.959623
2016-04-30,0.960279
2016-04-29,0.961694
2016-04-28,0.968776
2016-04-27,0.971728
2016-04-26,0.973732
2016-04-25,0.975621
2016-04-24,0.978587
2016-04-23,0.978089
2016-04-22,0.977036
2016-04-21,0.97035
2016-04-20,0.966777
2016-04-19,0.965025
2016-04-18,0.964444
2016-04-17,0.967924
2016-04-16,0.967803
2016-04-15,0.96607
2016-04-14,0.9653
2016-04-13,0.963105
2016-04-12,0.955274
2016-04-11,0.9538
2016-04-10,0.953554
2016-04-09,0.953948
2016-04-08,0.954084
2016-04-07,0.95566
2016-04-06,0.955639
2016-04-05,0.956414
2016-04-04,0.958776
2016-04-03,0.958089
2016-04-02,0.958473
2016-04-01,0.959035
2016-03-31,0.965449
2016-03-30,0.965904
2016-03-29,0.972224
2016-03-28,0.974496
2016-03-27,0.977695
2016-03-26,0.977607
2016-03-25,0.977188
2016-03-24,0.975147
2016-03-23,0.973654
2016-03-22,0.971572
2016-03-21,0.969504
2016-03-20,0.969379
2016-03-19,0.969078
2016-03-18,0.969128
2016-03-17,0.970719
2016-03-16,0.988083
2016-03-15,0.986117
2016-03-14,0.986201
2016-03-13,0.982551
2016-03-12,0.982982
2016-03-11,0.98435
2016-03-10,0.986869
2016-03-09,0.994564
2016-03-08,0.994837
2016-03-07,0.994
2016-03-06,0.992909
2016-03-05,0.992837
2016-03-04,0.993971
2016-03-03,0.993278
2016-03-02,0.997719
2016-03-01,0.99964
2016-02-29,0.996968
2016-02-28,0.996874
2016-02-27,0.995929
2016-02-26,0.995606
2016-02-25,0.989917
2016-02-24,0.987893
2016-02-23,0.99168
2016-02-22,0.996984
2016-02-21,0.990182
2016-02-20,0.990601
2016-02-19,0.990382
2016-02-18,0.996715
2016-02-17,0.991162
2016-02-16,0.987118
2016-02-15,0.985655
2016-02-14,0.977167
2016-02-13,0.976738
2016-02-12,0.975412
2016-02-11,0.972137
2016-02-10,0.977917
2016-02-09,0.974858
2016-02-08,0.989934
2016-02-07,0.990944
2016-02-06,0.991353
2016-02-05,0.99454
2016-02-04,0.998674
2016-02-03,1.008425
2016-02-02,1.018813
2016-02-01,1.020292
2016-01-31,1.023083
2016-01-30,1.022196
2016-01-29,1.02124
2016-01-28,1.014347
2016-01-27,1.017625
2016-01-26,1.018517
