DATE,RATE
2016-05-12,0.878954
2016-05-11,0.874607
2016-05-10,0.878632
2016-05-09,0.877307
2016-05-08,0.876814
2016-05-07,0.876814
2016-05-06,0.875251
2016-05-05,0.876737
2016-05-04,0.870183
2016-05-03,0.86825
2016-05-02,0.86834
2016-05-01,0.873433
2016-04-30,0.873433
2016-04-29,0.874231
2016-04-28,0.882259
2016-04-27,0.883213
2016-04-26,0.884727
2016-04-25,0.887465
2016-04-24,0.8909
2016-04-23,0.8909
2016-04-22,0.890773
2016-04-21,0.884585
2016-04-20,0.882636
2016-04-19,0.882482
2016-04-18,0.883398
2016-04-17,0.886245
2016-04-16,0.886245
2016-04-15,0.884949
2016-04-14,0.887625
2016-04-13,0.885838
2016-04-12,0.878532
2016-04-11,0.876141
2016-04-10,0.877197
2016-04-09,0.877197
2016-04-08,0.876636
2016-04-07,0.878718
2016-04-06,0.876
2016-04-05,0.877597
2016-04-04,0.877789
2016-04-03,0.877796
2016-04-02,0.877796
2016-04-01,0.877668
2016-03-31,0.883431
2016-03-30,0.883338
2016-03-29,0.889234
2016-03-28,0.892844
2016-03-27,0.895514
2016-03-26,0.895514
2016-03-25,0.895574
2016-03-24,0.894674
2016-03-23,0.892317
2016-03-22,0.891783
2016-03-21,0.889416
2016-03-20,0.887332
2016-03-19,0.887332
2016-03-18,0.887046
2016-03-17,0.883459
2016-03-16,0.902492
2016-03-15,0.900103
2016-03-14,0.901549
2016-03-13,0.89683
2016-03-12,0.89683
2016-03-11,0.896062
2016-03-10,0.894171
2016-03-09,0.906669
2016-03-08,0.907286
2016-03-07,0.907298
2016-03-06,0.908622
2016-03-05,0.908622
2016-03-04,0.909353
2016-03-03,0.913891
2016-03-02,0.921856
2016-03-01,0.921769
2016-02-29,0.919882
2016-02-28,0.914709
2016-02-27,0.914709
2016-02-26,0.915179
2016-02-25,0.906515
2016-02-24,0.907253
2016-02-23,0.907384
2016-02-22,0.90718
2016-02-21,0.898413
2016-02-20,0.898413
2016-02-19,0.898507
2016-02-18,0.904208
2016-02-17,0.897512
2016-02-16,0.897556
2016-02-15,0.89687
2016-02-14,0.888429
2016-02-13,0.888429
2016-02-12,0.889691
2016-02-11,0.881468
2016-02-10,0.890281
2016-02-09,0.883322
2016-02-08,0.895534
2016-02-07,0.891313
2016-02-06,0.896115
2016-02-05,0.897895
2016-02-04,0.893454
2016-02-03,0.903807
2016-02-02,0.916752
2016-02-01,0.917868
2016-01-31,0.923297
2016-01-30,0.923297
2016-01-29,0.923154
2016-01-28,0.913339
2016-01-27,0.920135
2016-01-26,0.922441
2016-01-25,0.923412
2016-01-24,0.926139
2016-01-23,0.926139
2016-01-22,0.924971
2016-01-21,0.9223
2016-01-20,0.915183
2016-01-19,0.915539
2016-01-18,0.918129
2016-01-17,0.916268
2016-01-16,0.916268
2016-01-15,0.911902
2016-01-14,0.9205
2016-01-13,0.921812
2016-01-12,0.922833
2016-01-11,0.918462
2016-01-10,0.915399
2016-01-09,0.915399
2016-01-08,0.919098
2016-01-07,0.920189
2016-01-06,0.929571
2016-01-05,0.93107
2016-01-04,0.924363
2016-01-03,0.920862
2016-01-02,0.920862
2016-01-01,0.920794
2015-12-31,0.920705
2015-12-30,0.914848
2015-12-29,0.911288
2015-12-28,0.911395
2015-12-27,0.911393
2015-12-26,0.911393
2015-12-25,0.912166
2015-12-24,0.91278
2015-12-23,0.919185
2015-12-22,0.911436
2015-12-21,0.916012
2015-12-20,0.920194
2015-12-19,0.920194
2015-12-18,0.922356
2015-12-17,0.925012
2015-12-16,0.914984
2015-12-15,0.915684
2015-12-14,0.907236
2015-12-13,0.909668
2015-12-12,0.918218
2015-12-11,0.914099
2015-12-10,0.913691
2015-12-09,0.909739
2015-12-08,0.918675
2015-12-07,0.921521
2015-12-06,0.919026
2015-12-05,0.919026
2015-12-04,0.919349
2015-12-03,0.91596
2015-12-02,0.945351
2015-12-01,0.942127
2015-11-30,0.946009
2015-11-29,0.943916
2015-11-28,0.943916
2015-11-27,0.943511
2015-11-26,0.942581
2015-11-25,0.941137
2015-11-24,0.938821
2015-11-23,0.941761
2015-11-22,0.93922
2015-11-21,0.93922
2015-11-20,0.939016
2015-11-19,0.931595
2015-11-18,0.939905
2015-11-17,0.939397
2015-11-16,0.934775
2015-11-15,0.928398
2015-11-14,0.928398
2015-11-13,0.932658
2015-11-12,0.926992
2015-11-11,0.932068
2015-11-10,0.935164
2015-11-09,0.929274
2015-11-08,0.930996
2015-11-07,0.930996
2015-11-06,0.931549
2015-11-05,0.920153
2015-11-04,0.921233
2015-11-03,0.912797
2015-11-02,0.907426
2015-11-01,0.908567
2015-10-31,0.908567
2015-10-30,0.907628
2015-10-29,0.912329
2015-10-28,0.902943
2015-10-27,0.905639
2015-10-26,0.904746
2015-10-25,0.907614
2015-10-24,0.907614
2015-10-23,0.900411
2015-10-22,0.881807
2015-10-21,0.881003
2015-10-20,0.882669
2015-10-19,0.880638
2015-10-18,0.881134
2015-10-17,0.881134
2015-10-16,0.878942
2015-10-15,0.871531
2015-10-14,0.878456
2015-10-13,0.880632
2015-10-12,0.87999
2015-10-11,0.880362
2015-10-10,0.880362
2015-10-09,0.885898
2015-10-08,0.889693
2015-10-07,0.887483
2015-10-06,0.893663
2015-10-05,0.891853
2015-10-04,0.891965
2015-10-03,0.891965
2015-10-02,0.893525
2015-10-01,0.895129
2015-09-30,0.888399
2015-09-29,0.889994
2015-09-28,0.893519
2015-09-27,0.893172
2015-09-26,0.893172
2015-09-25,0.894702
2015-09-24,0.89386
2015-09-23,0.898556
2015-09-22,0.89395
2015-09-21,0.885681
2015-09-20,0.884495
2015-09-19,0.884495
2015-09-18,0.875786
2015-09-17,0.885652
2015-09-16,0.887307
2015-09-15,0.883986
2015-09-14,0.881057
2015-09-13,0.882051
2015-09-12,0.882051
2015-09-11,0.885967
2015-09-10,0.891617
2015-09-09,0.89238
2015-09-08,0.895265
2015-09-07,0.897337
2015-09-06,0.896921
2015-09-05,0.896921
2015-09-04,0.899304
2015-09-03,0.891398
2015-09-02,0.884777
2015-09-01,0.891534
2015-08-31,0.893604
2015-08-30,0.894221
2015-08-29,0.894209
2015-08-28,0.889304
2015-08-27,0.882564
2015-08-26,0.867764
2015-08-25,0.862089
2015-08-24,0.878142
2015-08-23,0.878029
2015-08-22,0.878017
2015-08-21,0.890229
2015-08-20,0.899471
2015-08-19,0.906882
2015-08-18,0.902733
2015-08-17,0.900301
2015-08-16,0.900085
2015-08-15,0.900098
2015-08-14,0.896613
2015-08-13,0.896292
2015-08-12,0.905589
2015-08-11,0.907692
2015-08-10,0.911939
2015-08-09,0.911841
2015-08-08,0.911841
2015-08-07,0.915226
2015-08-06,0.917305
2015-08-05,0.918298
2015-08-04,0.91289
2015-08-03,0.911169
2015-08-02,0.909846
2015-08-01,0.909846
2015-07-31,0.914667
2015-07-30,0.91032
2015-07-29,0.903984
2015-07-28,0.901842
2015-07-27,0.910981
2015-07-26,0.910944
2015-07-25,0.910944
2015-07-24,0.910306
2015-07-23,0.914928
2015-07-22,0.914284
2015-07-21,0.923564
2015-07-20,0.922521
2015-07-19,0.923378
2015-07-18,0.923378
2015-07-17,0.919194
2015-07-16,0.913304
2015-07-15,0.908004
2015-07-14,0.908643
2015-07-13,0.898531
2015-07-12,0.896253
2015-07-11,0.896253
2015-07-10,0.903492
2015-07-09,0.903065
2015-07-08,0.909175
2015-07-07,0.904518
2015-07-06,0.907493
2015-07-05,0.899862
2015-07-04,0.899862
2015-07-03,0.901887
2015-07-02,0.905049
2015-07-01,0.897863
2015-06-30,0.891206
2015-06-29,0.909731
2015-06-28,0.895377
2015-06-27,0.895377
2015-06-26,0.892711
2015-06-25,0.892526
2015-06-24,0.895425
2015-06-23,0.881766
2015-06-22,0.880195
2015-06-21,0.880843
2015-06-20,0.880843
2015-06-19,0.879418
2015-06-18,0.882163
2015-06-17,0.889234
2015-06-16,0.886696
